Aspergillus amoenus	1220191
Aspergillus creber	1220201
Aspergillus puulaauensis	1220207
Aspergillus tennesseensis	1220210
Auricularia cornea	1238391
Lachancea lanzarotensis	1245769
Starmerella bacillaris	1247836
Talaromyces purpureogenus	1266744
Plectania melastoma	1280572
Penicillium swiecickii	1295096
Ascoidea asiatica	1301101
Peterozyma xylosa	1337056
Malassezia equina	1381935
Zygosaccharomyces sapae	1461763
Lizonia empirigonia	1496277
Aspergillus pseudonomiae	1506151
Curvularia papendorfii	1537989
Blastobotrys raffinosifermentans	1548389
Auricularia heimuer	1579977
Fusarium fracticaudum	1604329
Yarrowia deformans	1608523
Zasmidium citrigriseum	1629917
Aquanectria penicillioides	1634478
Metarhizium rileyi	1649241
Blastomyces percursus	1658174
Phialophora attinorum	1664694
Spathaspora boniae	1701548
Wallemia mellicola	1708541
Eurotiomycetes sp.	1709936
Eurotiomycetes sp.	1709936
Chaetothyriales sp.	1715222
Preussia sp.	1715257
Exophiala sp.	1718875
Saccharomycopsis fibuligera x Saccharomycopsis cf. fibuligera	1725355
Pseudocercospora ulei	1740738
Piromyces finnis	1754191
Neonectria sp.	1755434
Lecanicillium sp.	1756136
Xylariales sp.	1756188
Hypoxylon lienhwacheense	1756826
Kazachstania saulgeensis	1789683
Morchella disparilis	1810716
Aspergillus astellatus	1810904
Aspergillus papuensis	1825619
Phialophora chinensis	1851181
Candida sp.	1853550
Rhodotorula sp.	1853554
Chaetomidium fimeti	1854472
Tolypocladium sp.	1856741
Dacryopinax primogenitus	1858805
Cercospora cf. flagellaris	1868926
Cercospora cf. sigesbeckiae	1868927
Ganoderma sp.	1869158
Diaporthaceae sp.	1882912
Yarrowia sp.	1884667
Magnaporthales sp.	1890405
Saitozyma podzolica	1890683
Tilletiopsis sp.	1891169
Lasiodiplodia sp.	1891967
Meyerozyma sp.	1894960
Saccharomyces eubayanus x Saccharomyces uvarum	1911678
Purpureocillium sp.	1926681
Herpotrichiellaceae sp.	1933427
Yamadazyma laniorum	1944661
Phialophora expanda	1955053
Botrytis fragariae	1964551
Naganishia sp.	1973320
Urocystis occulta	1983702
Saccharomyces jurei	1987369
Thermoascaceae sp.	2011656
Coniella vitis	2033813
Spiromastix sp.	2044277
Talaromyces borbonicus	2077152
Aspergillus shendaweii	2082511
Pyrrhoderma noxium	2282107
Didymella keratinophila	2301244
Neurospora sp. FGSC 26630	2306342
Fusarium irregulare	2494466
Aeminium ludgeri	2518135
Xylariomycetidae sp.	2572554
Cryptococcus floricola	2591691
Saprochaete ingens	2606893
Atropellis piniphila	2614604
unclassified Pyrenochaeta	2640096
Akanthomyces lecanii	2714763
Morchella kakiicolor	2715921
Blastomyces emzantsi	2723674
Fusarium cucurbiticola	2747963
Fusarium cf. verticillioides	2778375
Golubevia sp.	2780112
Orbilia oligospora	2813651
[Candida] glabrata	5478
Aspergillus penicilloides	41959
Exophiala lecanii.corni	91925
Aspergillus triticus	2932460
[Candida] haemuloni	45357
Aspergillus neoconicus	2663349
[Candida] inconspicua	52247
[Candida] duobushaemulonis	1231522
Metschnikowia sp.	1780086
Nadsonia starkeyi.henricii	43970
Isaria fumosorosea	114497
Penicillium lancoscoeruleum	1303717
